codigo,descripcion,CodigoBarras
506,MUGA ARO 750 ML. (2021)- 100 PUNTOS.,38414542115109
507,MUGA ROSADO 750 ML.,8414542050133
508,MUGA RESERVA SELECCION ESPECIAL 750 ML.,8414542150093
5100,MANOS NEGRAS TORRONTES 750 ML.,852282002377
5101,MANOS NEGRAS PINOT NOIR 750 ML.,852282002360
5102,MANOS NEGRAS MALBEC 750 ML.,852282002711
5103,MANOS NEGRAS MALBEC STONE SOIL SELECT 750 ML.,852282002926
5104,MANOS NEGRAS PINOT NOIR RED SOIL SELECT 750 ML.,852282002933
5105,ARTESANO MALBEC 750 ML MANOS NEGRAS,7798185960488
5106,ARTESANO PINOT NOIR 750 ML MANOS NEGRAS,7798185960501
514,FLOR DE MUGA ROSE - MUGA,8414542055169
515,MUGA CRIANZA ANDEN DE LA ESTACION 750ML.,8414542135168
5200,DUCKHORN MERLOT NAPA VALLEY  750ML,669576019283
5201,DUCKHORN MERLOT THREE PALMS 750ML,669576018521
5202,DECOY CABERNET SAUVIGNON CALIFORNIA 750ML,669576019269
5203,DECOY MERLOT SONOMA COUNTY 750ML,669576019252
5300,LOS VASCOS ROTHSCHILD LAFITE CABERNET SAUVIGNON 750 ML.,7804360111009
5301,LOS VASCOS ROTHSCHILD LAFITE SAUVIGNON BLANC 750 ML.,7804360000402
5302,LOS VASCOS ROTHSCHILD LAFITE CHARDONNAY 750 ML.,7804360311003
5304,LOS VASCOS ROTHSCHILD LAFITE LE DIX 750 ML.,7804360000754
5305,LOS VASCOS ROTHSCHILD LAFITE CROMAS CABERNET SAUVIGNON GRAN RESERVA 750 ML.,7804360000471
5401,FEVER-TREE PREMIUM INDIAN TONIC WATER 200 ML.,5060108450003
5402,FEVER-TREE NATURALLY LIGHT INDIAN TONIC WATER 200 ML.,5060108450225
5403,FEVER-TREE MEDITERRANEAN TONIC WATER 200 ML.,5060108450508
5404,FEVER-TREE ELDERFLOWER TONIC WATER 200 ML.,5060108450843
5405,FEVER-TREE GINGER ALE 200 ML.,5060108450089
5406,FEVER-TREE GINGER BEER 200 ML.,5060108450348
5412,FEVER-TREE AROMATIC TONIC REFRESHINGLY LIGHT 200 ML.,5060108451116
5415,FOUR PACK PREMIUM INDIAN TONIC WATER 200ML - FEVER TREE,5060108450010
5416,FOUR PACK GINGER ALE 200ML - FEVER TREE,5060108450096
5417,FOUR PACK MEDITERRANEAN TONIC WATER 200 ML - FEVER TREE,5060108450515
5418,FOUR PACK GINGER BEER 200 ML - FEVER TREE,5060108450355
5419,FOUR PACK REFRESHINGLY LIGHT INDIAN TONIC WATER 200 ML - FEVER TREE,5060108450232
5421,EIGHT PACK (LATA) PREMIUM INDIAN TONIC WATER X 150 ML,5060108450959
5426,FEVER-TREE PINK GRAPEFRUIT SODA 200 ML.,5060108453196
5501,LA RIOJA ALTA VIÑA ARDANZA RESERVA 750ML,8413529821087
5503,LAGAR DE CERVERA 750ML,8413529901048
5600,7 COLORES CARMENERE 750 ML.,7804651562138
5601,7 COLORES CABERNET SAUVIGNON 750 ML.,7804651562008
5602,7 COLORES MERLOT 750 ML.,7804651562121
5603,7 COLORES SAUVIGNON BLANC 750 ML.,7804651562145
5604,7 COLORES CARMENERE 375 ML.,7804449014641
5605,7 COLORES CABERNET SAUVIGNON 375 ML.,7804449014658
5606,7 COLORES CARMENERE 187 ML.,7804449014689
5607,7 COLORES CABERNET SAUVIGNON 187 ML.,7804449014696
5608,7 COLORES SAUVIGNON BLANC 187 ML.,7804449014702
5609,7 COLORES RESERVA CABERNET SAUVIGNON / PAIS 750 ML.,7804651561995
5610,7 COLORES RESERVA CARMENERE / CINSAULT 750 ML.,7804651562107
5611,7 COLORES RESERVA SAUVIGNON BLANC / TORONTEL 750 ML.,7804651562114
5613,7 COLORES RESERVA CARMENERE / CINSAULT 375 ML. ,7804449014672
